player_name,player_short_name,player_id,player_birthdate,team_name,team_id,competition_name,competition_id,season_name,season_id,position_group,minutes_full_all,minutes_full_tip,minutes_full_otip,count_match,count_match_failed,total_distance_full_all,total_metersperminute_full_all,running_distance_full_all,hsr_distance_full_all,hsr_count_full_all,sprint_distance_full_all,sprint_count_full_all,hi_distance_full_all,hi_count_full_all,medaccel_count_full_all,highaccel_count_full_all,meddecel_count_full_all,highdecel_count_full_all,explacceltohsr_count_full_all,timetohsr_top3,explacceltosprint_count_full_all,timetosprint_top3,psv99,psv99_top5,total_distance_full_tip,total_metersperminute_full_tip,running_distance_full_tip,hsr_distance_full_tip,hsr_count_full_tip,sprint_distance_full_tip,sprint_count_full_tip,hi_distance_full_tip,hi_count_full_tip,medaccel_count_full_tip,highaccel_count_full_tip,meddecel_count_full_tip,highdecel_count_full_tip,explacceltohsr_count_full_tip,explacceltosprint_count_full_tip,total_distance_full_otip,total_metersperminute_full_otip,running_distance_full_otip,hsr_distance_full_otip,hsr_count_full_otip,sprint_distance_full_otip,sprint_count_full_otip,hi_distance_full_otip,hi_count_full_otip,medaccel_count_full_otip,highaccel_count_full_otip,meddecel_count_full_otip,highdecel_count_full_otip,explacceltohsr_count_full_otip,explacceltosprint_count_full_otip
Roderick Jefferson Gonçalves Miranda,Roderick Miranda,9175,3/30/91,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Central Defender,96.14,26.45,23.38,28,0,9509.14,98.91,1079.57,400.57,37.54,125.61,7.25,526.18,44.79,101.43,4.57,78.86,12.14,2.43,0.75,0.43,1.43,28.42,30.1,3134.25,118.52,347.5,86.07,7.68,16.57,0.96,102.64,8.64,25.21,1.11,20.82,2.11,0.39,0.04,3257.64,139.31,559.82,270.32,25.07,94.89,4.75,365.21,29.82,43.29,1.75,28.46,4.32,1,0.18
Samuel Souprayen,S. Souprayen,9520,2/18/89,Melbourne City FC,2380,AUS - A-League,61,2024/2025,95,Central Defender,97.6,30.32,23.97,20,0,10423.3,106.8,1307,361.6,31.7,73.35,4.55,434.95,36.25,104.45,3.45,85.15,7.9,1.4,0.8,0.25,,27.45,28.88,3839.3,126.63,475.9,105.75,9.35,15.15,0.75,120.9,10.1,33.2,0.8,28.55,2.6,0.3,0.1,3533.75,147.41,649.15,221.75,19.1,53.2,2.7,274.95,21.8,41.3,1.35,29.2,2.5,0.45,0.1
Trent Sainsbury,T. Sainsbury,10549,1/5/92,Central Coast Mariners Football Club,870,AUS - A-League,61,2024/2025,95,Central Defender,90.77,23.63,29.62,13,0,9676.15,106.6,1028.15,330.54,35.77,114.85,6.69,445.38,42.46,100.77,4.31,82.15,10.62,2.77,0.69,1.15,1.4,28.45,29.68,2902.31,122.84,293.15,64.46,5.85,17.46,0.85,81.92,6.69,24.69,1,19.92,2,0.08,0,4167.23,140.7,608.62,231.62,25.31,86.54,4.23,318.15,29.54,47.92,1.92,34.85,3.62,1.38,0.46
Trent Sainsbury,T. Sainsbury,10549,1/5/92,Central Coast Mariners Football Club,870,AUS - A-League,61,2024/2025,95,Full Back,97.3,25.02,25.52,1,0,10408,106.97,1427,350,37,112,6,462,43,100,6,88,12,3,,0,,29.9,29.9,3292,131.59,515,76,10,22,1,98,11,30,2,26,3,2,0,3688,144.53,705,222,21,89,3,311,24,42,2,26,5,1,0
Valère Germain,V. Germain,10623,4/17/90,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Center Forward,96.66,28.07,26.38,16,0,9711.5,100.47,1129.06,395.44,38.12,106.06,5.31,501.5,43.44,98.38,5.44,81.62,12.81,2.88,0.75,0.69,1.58,28.26,30,3621.31,129.02,620.38,261.75,23.44,77.94,3.44,339.69,26.88,42.44,2.12,28.19,4.56,1.12,0.31,3221.44,122.13,400.19,114.25,11.62,23.38,0.88,137.62,12.5,29.5,1.81,27.12,2.81,0.38,0.06
Valère Germain,V. Germain,10623,4/17/90,Macarthur FC,1804,AUS - A-League,61,2024/2025,95,Wide Attacker,98.12,25.5,28.83,1,0,9815,100.03,1217,253,30,73,4,326,34,95,7,91,9,4,,2,,27.7,27.7,3199,125.45,584,175,17,46,2,221,19,41,4,30,4,2,2,3539,122.74,499,76,10,25,1,101,11,29,2,31,3,0,0
Zinédine Machach,Z. Machach,11117,1/5/96,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Center Forward,87.83,22.6,24.02,1,0,10405,118.46,1634,501,48,96,7,597,55,104,5,88,11,5,,0,,26.8,26.8,3538,156.55,752,385,31,86,5,471,36,41,2,26,4,2,0,3723,155.02,704,78,9,9,1,87,10,34,1,28,2,0,0
Zinédine Machach,Z. Machach,11117,1/5/96,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Midfield,86.27,24.07,20.68,25,0,9779.12,113.36,1376.56,416.8,39.68,116.92,6.2,533.72,45.88,92.96,3.44,77.84,12.64,1.72,0.71,0.52,1.48,28.37,30.5,3573.8,148.48,661.72,256.48,23.28,83.76,3.8,340.24,27.08,35.72,1.32,25.76,3.48,0.88,0.16,3171.6,153.36,575.8,137.72,13,26.24,1.16,163.96,14.16,29.76,0.8,23.36,2.56,0.24,0.12
Daniel Arzani,D. Arzani,11885,1/4/99,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Midfield,90.83,21.9,19.6,1,0,9436,103.88,1277,701,72,268,18,969,90,102,8,90,15,6,,3,,29.2,29.2,3419,156.12,693,391,41,174,11,565,52,44,4,32,4,3,1,2664,135.92,428,253,25,75,5,328,30,27,2,22,4,2,1
Daniel Arzani,D. Arzani,11885,1/4/99,Melbourne Victory Football Club,868,AUS - A-League,61,2024/2025,95,Wide Attacker,77.2,21.72,18.57,18,0,8738.89,113.19,1305.94,636.78,62.06,225.78,13.17,862.56,75.22,100.11,7.44,77.44,21.44,5.28,0.62,1.61,1.27,29.28,30.88,3326.33,153.15,677.39,368.44,34,144.33,7.5,512.78,41.5,42.39,3.39,27.17,6.22,2.56,0.67,2626.94,141.49,488.61,217.5,20.67,56.83,3.22,274.33,23.89,29.67,1.83,21.5,5.06,1.11,0.28
